city,lat,lng,max_temp,humidity,cloudiness,wind speed,country,date
Menongue,-14.6585,17.691,61.74,60,69,2.82,AO,1613344586
Dzhebariki-Khaya,62.2167,135.8,-13.61,88,100,2.17,RU,1613344586
Lanzhou,36.0564,103.7922,30.99,50,100,2.3,CN,1613344586
Dudinka,69.4058,86.1778,-31.95,83,82,4.92,RU,1613344586
Porbandar,21.6422,69.6093,66.97,80,0,6.55,IN,1613344587
Saldanha,-33.0117,17.9442,66.2,77,35,4.61,ZA,1613344587
Manokwari,-0.8667,134.0833,81.19,75,96,4.34,ID,1613344587
Puerto Carreño,6.189,-67.4859,90.41,37,96,14.99,CO,1613344303
Lüderitz,-26.6481,15.1594,67.8,71,0,20.49,NA,1613344587
Port Hawkesbury,45.6169,-61.3485,27.0,68,90,4.0,CA,1613344587
Fountain,38.6822,-104.7008,-2.99,71,75,5.75,US,1613344588
Ourém,39.6417,-8.5919,55.99,71,0,3.44,PT,1613344588
Potosí,-19.5836,-65.7531,52.5,54,72,7.36,BO,1613344588
Yatou,37.15,122.3833,26.82,87,49,24.96,CN,1613344588
Two Hills,53.7169,-111.7518,-4.0,71,73,14.97,CA,1613344510
Beitbridge,-22.2167,30.0,76.93,79,100,5.75,ZW,1613344588
Nishihara,26.1842,127.7558,68.0,59,75,18.41,JP,1613344588
Mouzourás,35.5333,24.15,46.4,100,90,17.27,GR,1613344588
Kanniyākumāri,8.0833,77.5667,75.76,75,63,7.02,IN,1613344588
Leshukonskoye,64.8989,45.7622,-16.94,88,84,6.76,RU,1613344588
Moindou,-21.6924,165.677,87.8,62,0,5.75,NC,1613344589
Saint-Augustin,51.226,-58.6502,5.9,90,99,7.34,CA,1613344589
Inuvik,68.3499,-133.7218,-2.2,78,99,4.61,CA,1613344589
